n,Sample # ,Sample ID,Date Form was filled out,Date Sample was taken (if different),Age,Current Residence,Childhood Residence,Diet,Demographic,Chemical Treatment,Natural Hair Color,Hair Texture,Hair Density,Products Used,Brand of Shampoo Used,Brand of Conditioner Used,Brand of Other Products Used,Features of Product? ,Notable Ingredients?
1,H1,H1-3.29.2021-01,3/29/2021 12:36,,56,Newton,New York,Vegetarian,Non-Wellesley,none,"black, red",Wavy ,NaN,"Shampoo, Conditioner, Styling products ",Head and Shoulders,Head and Shoulders,NaN,anti-dandruff,NaN
1,H1,H1-3.29.2021-02,3/29/2021 12:36,,56,Newton,New York,Vegetarian,Non-Wellesley,none,"black, red",Wavy ,NaN,"Shampoo, Conditioner, Styling products ",Head and Shoulders,Head and Shoulders,NaN,anti-dandruff,NaN
1,H1,H1-3.29.2021-03,3/29/2021 12:36,,56,Newton,New York,Vegetarian,Non-Wellesley,none,"black, red",Wavy ,NaN,"Shampoo, Conditioner, Styling products ",Head and Shoulders,Head and Shoulders,NaN,anti-dandruff,NaN
2,H2,H2-3.25.2021-01,3/25/2021 10:56,,21,Wellesley College,"Huntsville, AL",Pescatarian,Student,none,black,Curly ,NaN,"Shampoo, Conditioner",OGX ,OGX,NaN,NaN,"biotin, collagen"
2,H2,H2-3.25.2021-02,3/25/2021 10:56,,21,Wellesley College,"Huntsville, AL",Pescatarian,Student,none,black,Curly ,NaN,"Shampoo, Conditioner",OGX ,OGX,NaN,NaN,"biotin, collagen"
2,H2,H2-3.25.2021-03,3/25/2021 10:56,,21,Wellesley College,"Huntsville, AL",Pescatarian,Student,none,black,Curly ,NaN,"Shampoo, Conditioner",OGX ,OGX,NaN,NaN,"biotin, collagen"
3,H3,H3-3.25.2021-01,3/25/2021 18:02,,21,Wellesley,"Bay Area, California",none,Student,none,black,Straight ,Medium-density ,"Shampoo, Conditioner",Head and Shoulders ,Aussie ,NaN,anti-dandruff,NaN
3,H3,H3-3.25.2021-02,3/25/2021 18:02,,21,Wellesley,"Bay Area, California",none,Student,none,black,Straight ,Medium-density ,"Shampoo, Conditioner",Head and Shoulders ,Aussie ,NaN,anti-dandruff,NaN
3,H3,H3-3.25.2021-03,3/25/2021 18:02,,21,Wellesley,"Bay Area, California",none,Student,none,black,Straight ,Medium-density ,"Shampoo, Conditioner",Head and Shoulders ,Aussie ,NaN,anti-dandruff,NaN
4,H4,H4-3.25.2021-01,3/25/2021 18:02,,22,"Wellesley College, Stone-Davis Hall","Winter Garden, Florida",Vegetarian,Student,none,blonde,Wavy,Medium-density ,Shampoo,Head and Shoulders,NaN,NaN,anti-dandruff,NaN
