,,%,Avg %,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,
Element,Description,Si Ind.,Si,P Ind.,P,S Ind.,S,Ca Ind.,Ca,Ti  Ind.,Ti,Fe  Ind.,Fe,Ni Ind.,Ni,Cu  Ind.,Cu,Zn  Ind.,Zn,Br  Ind.,Br,Sr Ind.,Sr,Mo  Ind.,Mo,Sb  Ind.,Sb,Pb  Ind.,Pb
Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-03.14.21-03,,< 0.0011,< 0.0013,0.1341,0.158733333,3.847,4.805333333,0.2382,0.3948,0.00077,0.000936667,0.00389,0.004353333,0.00115,0.00152,0.00146,0.001366667,0.09474,0.001366667,0.000177,0.000170667,0.00112,0.00101,< 0.00003,< 0.00003,< 0.00010,0.0001,0.00025,0.00023
H1-03.14.21-02,,< 0.0013,< 0.0013,0.1947,0.158733333,4.7,4.805333333,0.6911,0.3948,0.00121,0.000936667,0.00474,0.004353333,0.00219,0.00152,0.00117,0.001366667,0.0835,0.001366667,0.000145,0.000170667,0.0009,0.00101,< 0.00003,< 0.00003,0.00011,0.0001,0.00021,0.00023
H1-03.14.21-01,,< 0.0013,< 0.0013,0.1474,0.158733333,5.869,4.805333333,0.2551,0.3948,0.00083,0.000936667,0.00443,0.004353333,0.00122,0.00152,0.00147,0.001366667,0.1024,0.001366667,0.00019,0.000170667,0.00101,0.00101,< 0.00003,< 0.00003,0.00019,0.0001,0.00023,0.00023
H2-03.25.21-01,,0.01012,0.015556667,0.2046,0.193333333,6.13,6.26,1.154,0.976566667,0.00267,0.001786667,0.00474,0.004616667,0.00187,0.001713333,0.00712,0.00791,0.04401,0.048396667,0.000315,0.000274667,0.00167,0.00185,0.00005,0.00005,0.00157,0.000906667,0.0001,0.000106667
H2-03.25.21-02,,0.00437,0.015556667,0.1692,0.193333333,5.639,6.26,0.8512,0.976566667,0.00134,0.001786667,0.00445,0.004616667,0.00137,0.001713333,0.00881,0.00791,0.04991,0.048396667,0.000287,0.000274667,0.00197,0.00185,0.00006,0.00005,0.001,0.000906667,0.00012,0.000106667
H2-03.25.21-03,,0.03218,0.015556667,0.2062,0.193333333,7.011,6.26,0.9245,0.976566667,0.00135,0.001786667,0.00466,0.004616667,0.0019,0.001713333,0.0078,0.00791,0.05127,0.048396667,0.000222,0.000274667,0.00191,0.00185,0.00004,0.00005,0.00015,0.000906667,0.0001,0.000106667
H3-03.25.21-01,,0.1586,0.158003333,0.1673,0.169566667,5.691,5.479666667,0.2479,0.263633333,0.00102,0.001123333,0.00405,0.003963333,0.00145,0.00148,0.00531,0.004786667,0.0762,0.075273333,0.000237,0.000241667,0.00062,0.00064,0.00004,0.00004,0.00136,0.001323333,0.00008,0.000075
H3-03.25.21-02,,0.2263,0.158003333,0.1915,0.169566667,6.136,5.479666667,0.3332,0.263633333,0.00123,0.001123333,0.00409,0.003963333,0.00158,0.00148,0.00487,0.004786667,0.07541,0.075273333,0.000239,0.000241667,0.00061,0.00064,0.00005,0.00004,0.001,0.001323333,0.00007,0.000075
H3-03.25.21-03,,0.08911,0.158003333,0.1499,0.169566667,4.612,5.479666667,0.2098,0.263633333,0.00112,0.001123333,0.00375,0.003963333,0.00141,0.00148,0.00418,0.004786667,0.07421,0.075273333,0.000249,0.000241667,0.00069,0.00064,0.00003,0.00004,0.00161,0.001323333,0.00008,0.000075
H4-03.25.21-01,,0.01579,0.018,0.129,0.140433333,5.242,5.087666667,0.1009,0.10739,0.00221,0.001766667,0.00462,0.004256667,0.0011,0.00119,0.0032,0.00302,0.04551,0.04515,0.000209,0.000188333,0.00023,0.00022,0.00009,0.000077,0.00025,0.000213333,0.00005,0.00004
H4-03.25.21-02 ,,0.01487,0.018,0.1735,0.140433333,6.054,5.087666667,0.1342,0.10739,0.00207,0.001766667,0.00467,0.004256667,0.0015,0.00119,0.00318,0.00302,0.04775,0.04515,0.000195,0.000188333,0.00021,0.00022,0.00005,0.000077,0.00016,0.000213333,0.00004,0.00004
